post_id,title,category,score,num_comments,author,collected_at
47633517,Lightweight IDE to Pair with Claude Code?,technology,5,2,zupancik,2026-04-05 15:53:59.664432
47618322,Mistral secures $830M in debt financing to fund AI data center,technology,33,3,gmays,2026-04-05 15:54:02.114108
47608080,Show HN: 65k AI voters predict UK local elections with 75% accuracy,technology,9,9,JasonDuke,2026-04-05 15:54:13.106032
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 15:54:17.037507
47611572,Show HN: SideX – VS Code rebuilt on Tauri instead of Electron (96% smaller),technology,12,2,KendallCBooker,2026-04-05 15:54:19.764864
47607159,"AbodeLLM – An offline AI assistant for Android devices, based on open models",technology,7,0,shaicoleman,2026-04-05 15:54:22.326844
47619319,Show HN: RiceVM – A Dis virtual machine and Limbo compiler in Rust,entertainment,6,0,habedi0,2026-04-05 15:54:32.283782
47639757,Hims and Hers warns of data breach after Zendesk support ticket breach,technology,8,0,Brajeshwar,2026-04-05 15:54:35.910096
47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",technology,44,4,smartmic,2026-04-05 15:54:38.346569
47634073,CBP Facility Codes Sure Seem to Have Leaked via Online Flashcards,technology,12,1,couchand,2026-04-05 15:54:40.765204
47624164,AI models will deceive you to save their own kind,technology,14,1,cmsefton,2026-04-05 15:54:43.270709
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-05 15:54:47.212726
47593620,1-Bit Bonsai: The First Commercially Viable 1-Bit LLMs,technology,9,1,wmf,2026-04-05 15:54:57.031989
47616185,Show HN: AI-first PostgreSQL client for Mac,technology,5,0,Guillim,2026-04-05 15:55:01.055255
47606909,Cindy Cohn of the EFF Interviewed by Jon Stewart on the Daily Show [video],technology,36,1,latexr,2026-04-05 15:55:10.986265
47590281,Claude Code leaked features and hidden commands,technology,11,1,ishqdehlvi,2026-04-05 15:55:17.009792
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,4,teekert,2026-04-05 15:55:23.970258
47613181,Show HN: I run a full software company solo with Claude Code agents,technology,6,0,martinovigiani,2026-04-05 15:55:26.360723
